timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T16:48:34,5.6,81.7,18.7,88.4
2026-09-07T16:48:36,4.4,81.4,11.7,88.4
2026-09-07T16:48:38,5.4,81.3,15.6,88.6
2026-09-07T16:48:40,9.7,81.7,19.5,88.7
2026-09-07T16:48:42,7.3,81.7,13.3,88.7
2026-09-07T16:48:44,7.0,81.3,15.6,88.7
2026-09-07T16:48:46,4.7,81.4,22.7,88.8
2026-09-07T16:48:48,8.4,81.8,19.5,88.8
2026-09-07T16:48:50,6.2,81.6,11.7,88.8
2026-09-07T16:48:52,6.2,81.5,14.0,89.0
2026-09-07T16:48:54,6.7,81.6,14.8,89.1
2026-09-07T16:48:56,6.9,81.6,21.9,89.1
2026-09-07T16:48:58,6.1,81.4,14.8,89.1
2026-09-07T16:49:00,9.4,82.6,20.3,89.1
2026-09-07T16:49:02,6.5,82.5,14.8,89.1
2026-09-07T16:49:04,5.6,82.5,21.8,89.1
2026-09-07T16:49:06,9.2,82.7,11.7,89.1
2026-09-07T16:49:08,6.9,82.7,24.2,89.1
2026-09-07T16:49:10,6.0,82.7,27.3,89.4
2026-09-07T16:49:12,5.9,82.3,17.2,89.4
2026-09-07T16:49:14,7.6,82.0,20.2,89.4
2026-09-07T16:49:16,7.5,81.9,18.7,89.4
2026-09-07T16:49:18,6.8,81.7,14.8,89.5
2026-09-07T16:49:20,6.4,81.5,19.5,89.5
2026-09-07T16:49:22,7.2,80.9,12.5,89.5
2026-09-07T16:49:24,8.4,80.1,18.0,89.7
2026-09-07T16:49:26,6.3,79.9,15.6,89.7
2026-09-07T16:49:28,6.3,79.8,25.8,89.7
2026-09-07T16:49:30,6.1,79.7,28.1,89.7
2026-09-07T16:49:32,5.6,79.6,19.5,89.7
2026-09-07T16:49:34,7.0,79.8,22.6,89.7
2026-09-07T16:49:36,4.9,79.6,11.7,89.7
2026-09-07T16:49:38,4.7,79.6,25.0,89.8
2026-09-07T16:49:40,5.5,79.6,23.4,89.8
2026-09-07T16:49:42,5.0,79.4,12.5,90.2
2026-09-07T16:49:44,4.9,79.2,19.5,90.2
2026-09-07T16:49:46,5.9,79.5,13.3,90.2
2026-09-07T16:49:48,5.0,79.3,18.7,90.2
2026-09-07T16:49:50,6.8,79.3,16.4,90.2
2026-09-07T16:49:52,5.7,79.3,24.2,90.2
2026-09-07T16:49:54,5.6,79.1,20.3,90.2
2026-09-07T16:49:56,3.2,79.1,24.2,90.2
2026-09-07T16:49:58,2.8,78.9,16.4,90.2
2026-09-07T16:50:00,4.1,78.8,14.8,90.2
2026-09-07T16:50:02,3.8,78.5,25.8,90.2
2026-09-07T16:50:04,6.0,78.3,18.7,90.4
2026-09-07T16:50:06,3.2,78.3,19.5,90.4
2026-09-07T16:50:08,3.2,78.2,28.9,90.4
2026-09-07T16:50:10,7.7,78.5,41.4,91.3
2026-09-07T16:50:12,7.6,78.5,105.2,93.1
2026-09-07T16:50:14,8.3,79.1,90.6,95.1
2026-09-07T16:50:16,4.1,79.0,42.2,95.3
2026-09-07T16:50:18,3.7,79.0,29.6,95.3
2026-09-07T16:50:20,8.1,79.0,32.0,95.4
2026-09-07T16:50:22,5.5,79.0,39.0,95.4
2026-09-07T16:50:24,5.4,79.1,38.3,95.2
2026-09-07T16:50:26,4.4,79.1,37.5,95.5
2026-09-07T16:50:28,4.8,79.0,39.7,95.4
2026-09-07T16:50:30,8.5,79.8,23.4,95.4
2026-09-07T16:50:32,9.4,80.3,32.0,95.4
2026-09-07T16:50:34,6.2,80.3,30.5,95.8
2026-09-07T16:50:36,6.0,80.4,46.0,95.8
2026-09-07T16:50:38,6.6,80.2,34.4,95.8
2026-09-07T16:50:40,9.1,80.7,34.3,95.9
2026-09-07T16:50:42,7.5,80.6,35.9,95.9
2026-09-07T16:50:44,11.3,73.8,27.3,95.8
2026-09-07T16:50:46,5.7,73.7,34.4,96.0
2026-09-07T16:50:48,6.9,74.0,33.5,96.0
2026-09-07T16:50:50,6.1,73.8,33.6,96.1
2026-09-07T16:50:52,4.7,73.8,40.6,96.1
2026-09-07T16:50:54,5.6,73.6,40.6,96.1
2026-09-07T16:50:56,5.4,73.2,35.9,96.2
2026-09-07T16:50:58,6.4,73.7,30.4,96.4
2026-09-07T16:51:00,5.9,73.8,30.4,96.4
2026-09-07T16:51:02,6.6,73.5,31.2,96.4
2026-09-07T16:51:04,7.1,72.7,34.4,96.4
2026-09-07T16:51:06,5.5,72.6,39.0,96.4
2026-09-07T16:51:08,5.7,72.5,45.3,96.6
2026-09-07T16:51:10,6.1,72.3,28.9,96.6
2026-09-07T16:51:12,7.0,72.2,41.3,96.6
2026-09-07T16:51:14,5.0,72.2,28.9,96.6
2026-09-07T16:51:16,8.4,72.9,33.6,96.6
2026-09-07T16:51:18,5.1,72.9,34.4,96.6
2026-09-07T16:51:20,3.4,72.9,32.8,96.8
2026-09-07T16:51:22,3.5,72.3,37.5,96.9
2026-09-07T16:51:24,4.6,72.3,26.6,96.9
2026-09-07T16:51:26,5.0,72.3,26.6,96.9
2026-09-07T16:51:28,7.0,73.1,21.1,96.9
2026-09-07T16:51:30,7.0,73.1,31.2,96.9
2026-09-07T16:51:32,5.2,73.2,39.8,96.9
2026-09-07T16:51:34,5.3,73.1,39.8,97.2
2026-09-07T16:51:36,7.3,72.9,32.8,97.3
2026-09-07T16:51:38,7.3,73.2,41.4,97.3
2026-09-07T16:51:40,5.5,73.2,37.5,97.3
2026-09-07T16:51:42,6.1,73.2,39.0,97.3
2026-09-07T16:51:44,5.4,73.0,29.7,97.3
2026-09-07T16:51:46,6.8,73.3,35.1,97.2
2026-09-07T16:51:48,6.4,73.0,35.9,97.3
2026-09-07T16:51:50,5.8,73.0,33.6,97.3
2026-09-07T16:51:52,5.5,72.9,30.5,97.3
2026-09-07T16:51:54,3.8,72.7,40.5,97.4
2026-09-07T16:51:56,4.4,72.7,38.2,97.5
2026-09-07T16:51:58,4.8,72.5,45.3,97.8
2026-09-07T16:52:00,5.4,72.4,42.2,97.8
2026-09-07T16:52:02,4.8,72.0,35.1,97.8
2026-09-07T16:52:04,3.7,72.0,33.5,97.7
2026-09-07T16:52:06,5.0,71.9,40.6,97.7
2026-09-07T16:52:08,4.8,71.9,36.6,97.7
2026-09-07T16:52:10,5.7,71.9,76.5,98.5
2026-09-07T16:52:12,6.4,71.9,96.0,100.4
2026-09-07T16:52:14,6.7,71.9,107.7,102.0
2026-09-07T16:52:16,5.4,71.8,54.7,102.2
2026-09-07T16:52:18,5.5,71.8,57.8,102.4
2026-09-07T16:52:20,5.5,71.8,56.8,102.7
2026-09-07T16:52:22,5.2,71.8,57.8,102.7
2026-09-07T16:52:24,5.6,71.7,50.7,102.6
2026-09-07T16:52:26,5.0,71.7,59.0,102.6
2026-09-07T16:52:28,5.5,71.6,45.3,102.6
2026-09-07T16:52:30,5.6,71.6,53.9,102.5
2026-09-07T16:52:32,5.2,71.6,57.6,102.7
2026-09-07T16:52:34,5.5,71.6,60.8,102.7
2026-09-07T16:52:36,5.4,71.6,56.9,102.9
2026-09-07T16:52:38,5.0,71.6,53.1,102.9
2026-09-07T16:52:40,5.3,71.6,57.8,102.9
2026-09-07T16:52:42,5.4,71.6,56.2,102.9
2026-09-07T16:52:44,4.6,71.6,54.7,103.2
2026-09-07T16:52:46,6.1,71.4,57.6,103.3
2026-09-07T16:52:48,6.4,71.4,53.1,103.3
2026-09-07T16:52:50,5.6,71.4,56.9,103.3
2026-09-07T16:52:52,5.4,71.4,60.0,103.3
2026-09-07T16:52:54,5.2,71.4,56.2,103.3
2026-09-07T16:52:56,5.9,71.4,50.7,103.5
2026-09-07T16:52:58,5.3,71.4,54.6,103.5
2026-09-07T16:53:00,5.3,71.5,38.3,103.4
2026-09-07T16:53:02,5.0,71.4,53.1,103.4
2026-09-07T16:53:04,4.8,71.4,52.3,103.4
2026-09-07T16:53:06,4.9,71.4,56.2,103.4
2026-09-07T16:53:08,4.4,71.5,46.0,103.4
2026-09-07T16:53:10,5.8,71.5,60.9,103.7
2026-09-07T16:53:12,5.2,71.5,50.7,103.7
2026-09-07T16:53:14,5.1,71.4,51.5,103.7
2026-09-07T16:53:16,5.3,71.5,54.7,103.7
