timestamp,sys_cpu_percent,sys_mem_percent,proc_cpu_percent,proc_mem_mb
2026-09-07T15:38:14,7.2,73.9,0.0,96.8
2026-09-07T15:38:16,5.5,73.5,0.0,96.8
2026-09-07T15:38:18,8.6,72.0,0.0,96.8
2026-09-07T15:38:20,4.3,71.8,0.0,96.8
2026-09-07T15:38:22,5.6,71.9,0.0,96.8
2026-09-07T15:38:24,3.1,71.6,0.0,96.8
2026-09-07T15:38:26,3.5,71.6,2.3,100.7
2026-09-07T15:38:28,2.9,71.5,0.0,100.7
2026-09-07T15:38:30,4.4,71.4,0.0,100.7
2026-09-07T15:38:32,4.1,71.5,0.0,100.7
2026-09-07T15:38:34,5.8,71.5,0.0,100.7
2026-09-07T15:38:36,4.5,71.5,0.0,100.7
2026-09-07T15:38:38,7.5,72.1,0.0,100.7
2026-09-07T15:38:40,7.5,72.1,0.0,100.7
2026-09-07T15:38:42,5.5,72.2,0.0,100.7
2026-09-07T15:38:44,6.3,72.6,0.0,100.7
2026-09-07T15:38:46,7.6,72.1,0.0,100.7
2026-09-07T15:38:48,5.1,71.7,0.0,100.7
2026-09-07T15:38:50,4.6,71.6,0.0,100.7
2026-09-07T15:38:52,2.8,71.3,0.0,100.7
2026-09-07T15:38:54,3.2,71.2,0.0,100.7
2026-09-07T15:38:56,6.5,71.7,0.0,100.7
2026-09-07T15:38:58,5.9,71.5,0.0,100.7
2026-09-07T15:39:00,5.3,72.1,0.0,100.7
2026-09-07T15:39:02,9.7,73.7,0.0,100.7
2026-09-07T15:39:04,4.3,73.6,0.0,100.7
2026-09-07T15:39:06,4.0,73.6,0.0,100.7
2026-09-07T15:39:08,4.9,73.8,0.0,100.7
2026-09-07T15:39:10,10.5,74.9,0.0,100.7
2026-09-07T15:39:12,10.0,75.6,0.0,100.7
2026-09-07T15:39:14,6.2,75.6,0.0,100.7
2026-09-07T15:39:16,4.4,75.4,0.0,100.7
2026-09-07T15:39:18,6.2,75.7,0.0,100.7
2026-09-07T15:39:20,6.0,75.6,0.0,100.7
2026-09-07T15:39:22,7.9,75.9,0.0,100.7
2026-09-07T15:39:24,4.3,76.2,0.0,100.7
2026-09-07T15:39:26,5.6,76.3,0.0,100.7
2026-09-07T15:39:28,6.7,77.0,0.0,100.7
2026-09-07T15:39:30,4.8,76.9,0.0,100.7
2026-09-07T15:39:32,4.7,76.9,0.0,100.7
2026-09-07T15:39:34,4.1,76.9,0.0,100.7
2026-09-07T15:39:36,4.6,76.8,0.0,100.7
2026-09-07T15:39:38,4.0,77.0,0.0,100.7
2026-09-07T15:39:40,8.6,77.2,0.0,100.7
2026-09-07T15:39:42,12.5,74.7,0.0,100.7
2026-09-07T15:39:44,4.2,74.5,0.0,100.7
2026-09-07T15:39:46,5.5,75.2,0.0,100.7
2026-09-07T15:39:48,8.7,77.1,0.0,100.7
2026-09-07T15:39:50,6.9,75.2,0.0,100.7
2026-09-07T15:39:52,5.9,74.7,0.0,100.7
2026-09-07T15:39:54,7.8,70.1,0.0,100.7
2026-09-07T15:39:56,7.5,70.1,21.1,98.0
2026-09-07T15:39:58,10.3,72.8,0.0,98.0
2026-09-07T15:40:00,5.6,73.0,0.0,98.0
2026-09-07T15:40:02,5.2,72.7,0.0,98.0
2026-09-07T15:40:04,5.6,73.0,0.0,98.0
2026-09-07T15:40:06,6.4,72.7,0.0,98.0
2026-09-07T15:40:08,5.4,72.8,0.0,98.0
2026-09-07T15:40:10,11.8,72.2,0.0,98.0
2026-09-07T15:40:12,6.8,72.6,0.0,98.0
2026-09-07T15:40:14,6.6,73.0,0.0,98.0
2026-09-07T15:40:16,3.4,72.8,0.0,98.0
2026-09-07T15:40:18,3.9,72.5,0.0,98.0
2026-09-07T15:40:20,3.7,72.4,0.0,98.0
2026-09-07T15:40:22,5.5,72.1,0.0,98.0
2026-09-07T15:40:24,3.5,72.1,0.0,98.0
2026-09-07T15:40:26,3.2,72.0,0.0,98.0
2026-09-07T15:40:28,4.5,72.2,0.0,98.0
2026-09-07T15:40:30,3.9,72.2,0.0,98.0
2026-09-07T15:40:32,3.9,72.2,0.0,98.0
2026-09-07T15:40:34,4.3,72.2,0.0,98.0
2026-09-07T15:40:36,4.5,72.2,0.0,98.0
2026-09-07T15:40:38,4.8,72.3,0.0,98.0
2026-09-07T15:40:40,3.5,72.3,0.0,98.0
2026-09-07T15:40:42,6.1,74.1,0.0,98.0
2026-09-07T15:40:44,5.3,74.2,0.0,98.0
2026-09-07T15:40:46,5.3,74.4,0.0,98.0
2026-09-07T15:40:48,6.3,74.2,0.0,98.0
2026-09-07T15:40:50,4.8,73.8,0.0,98.0
2026-09-07T15:40:52,3.4,73.8,0.0,98.0
2026-09-07T15:40:54,4.0,73.5,0.0,98.0
2026-09-07T15:40:56,3.8,72.3,3.9,99.3
2026-09-07T15:40:58,4.8,72.1,0.0,99.3
2026-09-07T15:41:00,3.8,72.1,0.0,99.3
2026-09-07T15:41:02,3.8,72.1,0.0,99.3
2026-09-07T15:41:04,4.7,72.1,0.0,99.3
2026-09-07T15:41:06,3.1,72.1,0.0,99.3
2026-09-07T15:41:08,3.7,72.1,0.0,99.3
2026-09-07T15:41:10,3.5,71.9,0.0,99.3
2026-09-07T15:41:12,3.8,71.8,0.0,99.3
2026-09-07T15:41:14,4.3,71.8,0.0,99.3
2026-09-07T15:41:16,4.2,71.7,0.0,99.3
2026-09-07T15:41:18,2.9,71.6,0.0,99.3
2026-09-07T15:41:20,4.5,71.0,0.0,99.3
